"timestamp";"Adr01_energyHeat";"Adr01_hotWater";"Adr02_energyHeat";"Adr02_hotWater";"Adr04_energyHeat";"Adr04_hotWater";"Adr03_energyHeat";"Adr03_hotWater"
2010-01-01 00:00:00;729;0,87;751;1,16;972;1,56;799;0,07
2010-02-01 00:00:00;1850;2,18;2276;7,55;2526;8,14;3103;1,32
2010-03-01 00:00:00;2806;5,84;2826;12,94;3690;14,83;4786;3,73
2010-04-01 00:00:00;3615;9,92;3354;18,51;4700;20,82;6151;6,05
2010-05-01 00:00:00;4150;13,38;3613;24,81;5341;27,06;6900;7,74
2010-06-01 00:00:00;4669;17,5;3640;29,72;5802;31,61;7702;9,49
2010-07-01 00:00:00;4718;19,75;3640;33,84;5853;35,43;7794;11,27
2010-08-01 00:00:00;4729;22,51;3640;35,47;5864;39,58;7812;12,69
2010-09-01 00:00:00;4760;25,7;3640;39,46;5893;45,18;7860;14,86
2010-10-01 00:00:00;4859;27,81;3702;43,44;6019;50,21;8101;16,96
2010-11-01 00:00:00;5342;31,45;4048;47,38;6380;55,35;8995;19,42
2010-12-01 00:00:00;6074;35,55;4496;52,4;6919;60,3;10368;21,33
2011-01-01 00:00:00;7261;39,14;5151;57,4;8012;65,24;12608;23,66
2011-02-01 00:00:00;8309;43,33;5795;62,82;8967;70,15;14778;25,74
2011-03-01 00:00:00;9107;46,94;6369;67,59;9844;75,13;16338;27,76
2011-04-01 00:00:00;9703;50,63;6804;73,53;10671;80,99;17549;29,89
2011-05-01 00:00:00;9998;54,19;7073;77,93;11011;86,55;18027;32,2
2011-06-01 00:00:00;10192;56,19;7251;82,98;11236;92,77;18329;34,23
2011-07-01 00:00:00;10341;59,22;7306;88,47;11362;97,09;18535;35,67
2011-08-01 00:00:00;10473;62,46;7313;92,06;11482;101,85;18751;37,63
2011-09-01 00:00:00;10553;66,02;7313;97,74;11553;104,91;18865;39,32
2011-10-01 00:00:00;10690;68,07;7313;101,88;11693;109,05;19137;39,32
2011-11-01 00:00:00;11068;71,67;7637;108,09;12052;113,9;20066;39,32
2011-12-01 00:00:00;11770;74,58;8192;113,22;12606;119,54;21542;39,32
2012-01-01 00:00:00;12843;77,67;8850;119,9;13448;125,77;23467;39,32
2012-02-01 00:00:00;13859;81,18;9433;125,99;14290;131,64;25158;39,32
2012-03-01 00:00:00;15191;85,21;10283;132,2;15453;137,53;27615;39,32
2012-04-01 00:00:00;16013;88;10818;137,43;16053;144,16;28913;39,32
2012-05-01 00:00:00;16867;91,19;11284;144,6;16495;150,21;30006;39,32
2012-06-01 00:00:00;17359;93,76;11506;151,26;16720;156,33;30522;39,32
2012-07-01 00:00:00;17612;97,03;11622;156,14;16821;159,81;30676;39,32
2012-08-01 00:00:00;17791;100,47;11697;162,99;16887;164,69;30778;39,32
2012-09-01 00:00:00;17848;103,58;11747;169,57;16933;169,45;30846;39,32
2012-10-01 00:00:00;18064;105,42;11876;175,38;17035;174,19;31056;39,32
2012-11-01 00:00:00;18703;108,77;12436;179,18;17364;179,8;32062;39,32
2012-12-01 00:00:00;19578;112,37;13158;185,35;17719;185,16;33520;39,32
2013-01-01 00:00:00;20655;115,62;14091;191,93;18302;190,76;35616;39,32
2013-02-01 00:00:00;21856;118,89;15031;198,9;19178;196,84;37766;39,32
2013-03-01 00:00:00;23047;122,05;16018;205,25;20030;203,25;39850;41,29
2013-04-01 00:00:00;24148;124,76;16929;210,9;20890;209,99;41607;43,68
2013-05-01 00:00:00;24854;127,83;17557;217,67;21350;215,8;42658;46,18
2013-06-01 00:00:00;25283;130,92;18073;224,55;21622;221,74;43423;48,76
2013-07-01 00:00:00;25474;133,23;18308;230,23;21762;226,84;43808;49,69
2013-08-01 00:00:00;25503;135,51;18338;236,92;21785;230,74;43857;51,65
2013-09-01 00:00:00;25584;138,03;18427;241,48;21852;235,02;44017;53,31
2013-10-01 00:00:00;25771;139,91;18701;244,85;22013;239,29;44490;55,21
2013-11-01 00:00:00;26083;143,7;19134;250,7;22259;244,21;45354;57,31
2013-12-01 00:00:00;26926;147,17;20077;257,26;23025;248,51;47294;59,32
2014-01-01 00:00:00;28187;149,84;21056;265;24145;253,53;49322;61,19
2014-02-01 00:00:00;29460;152,16;22031;271,91;25115;258,62;51193;63,56
2014-03-01 00:00:00;30371;154,59;22753;278,68;26007;263,36;52677;65,61
2014-04-01 00:00:00;31092;157,84;23408;284,35;26546;269,03;53882;68,07
2014-05-01 00:00:00;31548;160,59;23939;284,35;26809;274,08;54567;70,11
2014-06-01 00:00:00;32012;164,45;24284;284,35;27160;277,7;55187;72,19
2014-07-01 00:00:00;32140;166,84;24409;284,35;27262;281,91;55323;73,77
2014-08-01 00:00:00;32264;168,91;24536;286,71;27361;284,67;55486;75,77
2014-09-01 00:00:00;32431;171,24;24689;290,09;27489;288,76;55708;77,87
2014-10-01 00:00:00;32637;174,33;24905;293,71;27641;292,54;56009;80,19
2014-11-01 00:00:00;32906;176,33;25229;297,71;27880;296,84;56624;82,35
2014-12-01 00:00:00;33679;179,62;25832;301,63;28382;301,02;57995;84,7
2015-01-01 00:00:00;34806;182,76;26665;305,72;29411;306,15;60111;86,82
2015-02-01 00:00:00;35908;185,94;27686;310,11;30568;311,07;62281;88,68
2015-03-01 00:00:00;36944;189,55;28618;314,67;31698;315,18;64450;90,5
2015-04-01 00:00:00;37710;192,96;29507;319,14;32641;319,86;65877;92,99
2015-05-01 00:00:00;38254;196,57;30045;322,31;33227;324,18;66663;95,18
